Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
11065,0,0,0,No,2,1036,59
11066,18,19,1,No,0,1189,60
11067,55,44,5,No,0,1192,60
11068,54,33,8,No,0,1190,60
11069,1,2,0,No,0,1200,60
11070,0,2,0,No,0,1195,60
11071,9,9,0,No,0,1207,60
11072,29,11,5,No,0,1197,60
11073,0,2,0,No,0,1167,60
11074,0,2,0,No,0,1166,60
11075,4,5,1,No,0,1165,60
11076,10,15,1,No,0,1188,60
11077,4,4,1,No,0,1171,60
11078,35,19,5,No,0,1170,60
11079,1,7,0,No,0,1179,60
11080,0,0,0,No,2,1168,60
11081,2,6,0,No,2,1184,60
11082,0,1,0,No,2,1174,60
11083,0,2,0,No,1,1185,60
11084,0,0,0,No,1,1191,60
11085,0,0,0,No,3,1205,60
11086,17,13,2,No,0,1003,61
11087,30,28,3,No,0,1002,61
11088,16,11,2,No,0,1019,61
11089,4,7,0,No,0,1004,61
11090,48,34,4,No,0,1007,61
11091,1,2,0,No,0,1006,61
11092,20,24,1,No,1,1011,61
11093,2,3,0,No,0,1001,61
11094,12,15,1,No,0,1093,61
11095,1,4,0,No,0,1084,61
11096,9,4,2,No,0,1075,61
11097,57,44,7,No,0,1074,61
11098,54,43,7,Yes,0,1083,61
11099,2,2,0,No,0,1076,61
11100,0,3,0,No,2,1012,61
11101,0,0,0,No,2,1081,61
11102,0,0,0,No,0,1055,62
11103,101,58,14,Yes,0,1051,62
11104,47,36,7,No,0,1054,62
11105,8,6,1,No,0,1050,62
11106,7,5,1,No,0,1052,62
11107,3,3,0,No,0,1058,62
11109,0,1,0,No,0,1057,62
11110,0,1,0,No,1,1067,62
11111,0,1,0,No,1,1060,62
11112,0,1,0,No,2,1073,62
11113,5,4,1,No,0,1235,62
11114,4,5,1,No,0,1216,62
11115,10,10,1,No,0,1220,62
11116,1,2,0,No,0,1215,62
11117,64,44,7,No,0,1226,62
11118,7,6,1,No,0,1230,62
11119,4,3,1,No,0,1212,62
11120,3,6,0,No,0,1221,62
11121,27,26,3,No,2,1219,62
11122,18,9,3,No,0,1228,62
11123,1,5,0,No,1,1223,62
11124,5,7,0,No,0,1100,63
11125,16,15,2,No,0,1099,63
11127,49,42,2,No,0,1101,63
11128,89,47,12,Yes,0,1097,63
11129,8,8,1,No,0,1110,63
11130,59,39,9,No,0,1123,63
11131,37,25,4,No,0,1120,63
11132,7,9,0,No,0,1122,63
11133,16,20,2,No,0,1141,63
11134,2,4,0,No,0,1139,63
11135,32,19,4,No,1,1126,63
11136,4,6,0,No,1,1135,63
11137,0,0,0,No,2,1137,63
11138,46,31,7,No,0,1030,64
11139,54,38,8,No,0,1028,64
11140,82,37,12,Yes,0,1049,64
11141,26,14,4,No,0,1045,64
11142,22,19,4,No,0,1150,64
11143,0,1,0,No,0,1145,64
11144,55,42,7,No,0,1157,64
11145,94,48,14,No,0,1153,64
11146,0,3,0,No,0,1151,64
11147,6,3,1,No,0,1148,64
11148,11,5,2,No,2,1159,64
11149,0,1,0,No,1,1149,64
11150,0,0,0,No,2,1152,64
11151,0,0,0,No,2,1144,64
11152,0,0,0,No,1,1036,64
11153,11,14,2,No,0,1216,65
11154,15,12,3,No,0,1215,65
11155,18,20,0,No,0,1220,65
11156,104,51,14,No,0,1226,65
11157,27,19,3,No,0,1224,65
11158,5,4,1,No,0,1222,65
11159,100,63,16,Yes,0,1189,65
11160,71,47,9,No,0,1192,65
11161,5,3,1,No,0,1190,65
11162,4,4,0,No,1,1207,65
11163,0,0,0,No,1,1191,65
11164,0,0,0,No,1,1223,65
11165,2,2,0,No,0,1150,66
11166,17,12,3,No,0,1145,66
11167,19,12,4,No,0,1157,66
11168,9,13,1,No,1,1153,66
11169,49,31,6,No,1,1159,66
11170,44,28,6,No,0,1151,66
11171,41,23,6,No,0,1148,66
11172,50,36,8,No,0,1167,66
11173,0,4,0,No,0,1166,66
11174,51,30,8,Yes,0,1171,66
11175,2,3,0,No,0,1165,66
11176,46,28,7,No,0,1170,66
11177,20,12,3,No,0,1172,66
11178,10,4,1,No,0,1179,66
11179,1,2,0,No,2,1169,66
11180,0,0,0,No,1,1144,66
11181,0,0,0,No,1,1176,66
11182,79,50,10,Yes,0,1003,67
11183,87,52,14,No,0,1002,67
11184,22,9,3,No,0,1007,67
11185,5,4,0,No,0,1001,67
11186,20,7,4,No,1,1011,67
11187,5,7,1,No,0,1028,67
11188,86,58,12,No,0,1030,67
11189,3,6,0,No,0,1045,67
11190,0,1,0,No,0,1049,67
11191,13,15,1,No,0,1040,67
11192,15,8,2,No,0,1027,67
11193,7,9,1,No,0,1044,67
11194,6,12,0,No,0,1038,67
11195,0,1,0,No,2,1029,67
11196,0,1,0,No,2,1035,67
11197,0,2,0,No,1,1037,67
11198,0,0,0,No,1,1012,67
11199,0,0,0,No,1,1036,67
11200,3,5,0,No,1,1109,68
11201,28,27,2,No,0,1099,68
11203,0,2,0,No,0,1097,68
11204,9,8,1,No,1,1101,68
11205,58,21,9,Yes,0,1110,68
11206,11,30,2,No,0,1104,68
11207,2,4,0,No,0,1098,68
11208,2,2,0,No,1,1117,68
11209,45,3,8,No,0,1093,68
11210,24,28,4,No,1,1075,68
11211,8,15,1,No,0,1074,68
11212,10,10,0,No,0,1084,68
11213,67,15,10,No,0,1083,68
11214,7,33,1,No,0,1076,68
11215,3,9,0,No,0,1085,68
11216,1,7,0,No,2,1077,68
11217,1,2,0,No,0,1088,68
11218,0,1,0,No,1,1081,68
11219,69,47,11,No,0,1229,69
11220,83,46,12,No,0,1225,69
11221,18,13,2,No,0,1226,69
11222,1,4,0,No,0,1222,69
11223,13,7,1,No,0,1220,69
11224,0,1,0,No,0,1224,69
11225,4,3,1,No,0,1230,69
11226,14,12,2,No,0,1123,69
11227,56,37,9,No,0,1120,69
11228,100,47,16,Yes,1,1135,69
11229,25,16,4,No,0,1122,69
11230,0,0,0,No,1,1137,69
11231,0,0,0,No,1,1223,69
11232,101,61,14,No,0,1189,70
11233,28,19,5,No,0,1192,70
11234,11,5,2,No,0,1190,70
11235,1,3,0,No,0,1200,70
11236,26,16,5,No,0,1207,70
11237,0,1,0,No,0,1195,70
11238,23,15,2,No,0,1197,70
11239,12,14,2,No,0,1055,70
11240,104,52,13,Yes,0,1051,70
11241,53,35,9,No,0,1059,70
11243,6,7,1,No,0,1052,70
11244,4,5,0,No,0,1058,70
11245,0,0,0,No,2,1191,70
11246,0,0,0,No,2,1060,70
