Performance_ID,Run_Scored,Balls_Faced,No_of_boundaries,MOM,Wickets_taken,Player_ID,Match_Num
10505,0,0,0,No,1,1144,27
10506,0,0,0,Yes,3,1191,27
10507,43,39,6,No,0,1093,28
10509,0,2,0,No,0,1075,28
10510,4,7,1,No,0,1074,28
10511,12,11,1,No,0,1092,28
10512,6,8,1,No,0,1083,28
10513,4,6,1,No,1,1077,28
10514,38,31,5,No,1,1076,28
10515,0,1,0,No,0,1082,28
10516,3,5,0,No,0,1078,28
10517,1,6,0,No,1,1081,28
10518,57,41,11,No,0,1030,28
10519,13,11,2,No,0,1028,28
10520,2,9,0,No,0,1031,28
10521,5,3,1,No,0,1045,28
10522,21,23,2,No,0,1048,28
10523,19,22,1,No,1,1027,28
10524,0,2,0,No,0,1044,28
10525,4,7,0,No,1,1038,28
10526,0,0,0,Yes,3,1046,28
10527,18,13,3,No,0,1224,29
10528,34,26,4,No,0,1216,29
10529,21,21,2,No,0,1215,29
10530,12,12,1,No,0,1220,29
10531,17,16,1,No,0,1226,29
10532,2,4,0,No,0,1225,29
10533,17,22,1,No,1,1221,29
10534,9,6,1,No,1,1214,29
10535,35,30,2,No,0,1002,29
10536,77,57,13,No,0,1003,29
10537,9,10,0,No,0,1019,29
10538,9,9,1,No,0,1004,29
10539,6,6,1,No,0,1006,29
10540,0,0,0,No,1,1012,29
10541,0,0,0,Yes,3,1011,29
10542,47,37,6,No,0,1055,30
10543,0,2,0,No,0,1051,30
10544,66,50,6,No,0,1050,30
10545,3,5,0,No,0,1053,30
10546,10,12,1,No,0,1059,30
10547,6,12,0,No,0,1052,30
10548,2,2,0,No,0,1058,30
10549,68,61,8,No,0,1096,30
10550,24,19,3,No,0,1108,30
10551,23,23,3,No,1,1101,30
10552,1,7,0,No,0,1110,30
10553,8,6,0,No,0,1107,30
10554,0,1,0,No,0,1097,30
10555,2,2,0,No,0,1100,30
10557,0,1,0,No,0,1098,30
10558,0,0,0,No,1,1060,30
10559,0,0,0,Yes,2,1073,30
10560,11,10,2,No,0,1147,31
10561,26,17,3,No,0,1150,31
10562,29,17,4,No,0,1157,31
10563,10,12,1,No,0,1153,31
10564,41,28,6,No,0,1149,31
10565,55,29,9,Yes,3,1159,31
10566,25,7,4,No,0,1151,31
10567,0,0,0,No,0,1148,31
10568,5,2,1,No,0,1149,31
10569,44,27,7,No,0,1120,31
10570,1,4,0,No,0,1123,31
10571,67,43,9,No,0,1135,31
10572,57,26,10,No,0,1122,31
10573,25,13,2,No,0,1126,31
10574,3,4,0,No,0,1125,31
10575,0,1,0,No,0,1141,31
10576,1,2,0,No,0,1143,31
10577,0,0,0,No,0,1137,31
10578,0,1,0,No,0,1189,32
10579,62,39,10,No,0,1192,32
10580,2,4,0,No,0,1196,32
10581,77,44,10,Yes,1,1190,32
10582,8,6,1,No,0,1200,32
10583,16,13,2,No,0,1195,32
10584,0,2,0,No,0,1202,32
10585,6,7,0,No,2,1194,32
10586,4,2,1,No,0,1204,32
10587,0,1,0,No,2,1211,32
10588,1,1,0,No,0,1191,32
10589,47,37,7,No,0,1167,32
10590,0,2,0,No,0,1166,32
10591,52,34,8,No,0,1171,32
10592,22,15,3,No,0,1165,32
10593,3,9,0,No,0,1170,32
10594,34,16,4,No,0,1179,32
10595,12,6,2,No,1,1168,32
10597,0,0,0,No,1,1176,32
10598,35,20,5,No,0,1003,33
10599,56,40,7,No,0,1002,33
10600,71,29,11,Yes,0,1019,33
10601,50,21,7,No,0,1007,33
10602,18,8,2,No,0,1011,33
10603,2,3,0,No,0,1001,33
10604,1,3,0,No,0,1087,33
10605,0,3,0,No,0,1077,33
10606,20,20,3,No,0,1075,33
10607,27,20,5,No,0,1074,33
10608,61,26,10,No,0,1093,33
10609,53,33,7,No,0,1083,33
10610,9,6,1,No,0,1076,33
10611,1,2,0,No,0,1090,33
10612,4,4,0,No,2,1078,33
10613,0,3,0,No,1,1081,33
10614,0,0,0,No,2,1012,33
10615,21,20,3,No,0,1030,34
10616,0,1,0,No,0,1045,34
10617,25,15,5,No,0,1031,34
10618,10,9,1,No,0,1032,34
10619,34,27,2,No,0,1048,34
10620,4,2,1,No,0,1044,34
10621,34,34,4,Yes,2,1027,34
10622,5,6,0,No,0,1039,34
10623,2,2,0,No,2,1029,34
10624,4,3,1,No,1,1035,34
10625,1,1,0,No,1,1046,34
10626,7,14,0,No,0,1224,34
10627,49,39,7,No,0,1225,34
10628,15,21,0,No,0,1215,34
10629,5,5,0,No,0,1216,34
10630,3,5,0,No,0,1220,34
10631,31,19,4,No,0,1226,34
10632,24,15,3,No,0,1214,34
10633,2,3,0,No,1,1221,34
10634,0,0,0,No,2,1218,34
10635,0,0,0,No,2,1036,34
10636,4,7,0,No,0,1055,35
10637,56,34,8,No,0,1051,35
10638,13,14,1,No,0,1050,35
10639,19,16,2,No,0,1059,35
10640,46,22,6,No,0,1052,35
10641,42,21,6,Yes,0,1053,35
10642,20,5,3,No,0,1058,35
10643,2,1,0,No,1,1057,35
10644,2,8,0,No,0,1120,35
10645,13,21,1,No,0,1123,35
10646,33,26,3,No,1,1135,35
10647,2,3,0,No,0,1125,35
10648,23,12,4,No,0,1122,35
10649,0,2,0,No,1,1126,35
